new_id,url
Tell The Vision%:%Kanye West,https://open.spotify.com/track/4OfnDoi5VOPsXtwnofq6aL
Brutal%:%Olivia Rodrigo,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
AM%:%Nio Garcia X J Balvin X Bad Bunny,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv?si=dbb20f58c71d4c81
Repeat It%:%Lil Tecca,https://open.spotify.com/track/21AJQhGZpujjZQXByZAXpr
Matt Hardy 999%:%Trippie Redd Featuring Juice WRLD,https://open.spotify.com/track/1HsOTiVqdN7PB1zOS2bcsO
Blinding Lights%:%The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
Glad You Exist%:%Dan + Shay,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY
Without You%:%The Kid LAROI,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
Astronaut In The Ocean%:%Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
Rapstar%:%Polo G,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
Famous Friends%:%Chris Young + Kane Brown,https://open.spotify.com/track/4iXDn9pu5Q9sxv45vE8Lak
Lil Bit%:%Nelly,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
Beautiful Mistakes%:%Maroon 5 Featuring Megan Thee Stallion,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
Rich MF%:%Trippie Redd Featuring Lil Durk,https://open.spotify.com/track/6cUHiQEECDl5m3WFGQ1GCR
Already Won%:%Rod Wave Featuring Lil Durk,https://open.spotify.com/track/2wOnrN7fkzV4NsLqym2C6O
Betrayal%:%Trippie Redd Featuring Drake,https://open.spotify.com/track/4mOkfIYbMX9PXx27hj8NTi
Don't Go%:%Skrillex,https://open.spotify.com/track/55sgQENF3LY1sUcJUwasLl
Tombstone%:%Rod Wave,https://open.spotify.com/track/3zc8VZEpM1onYV4FWGdFvm
Visiting Hours%:%Ed Sheeran,https://open.spotify.com/track/17e8mcHEU0iRncCBr0b5sO
Holy Smokes%:%Trippie Redd Featuring Lil Uzi Vert,https://open.spotify.com/track/5WSYEQSBKIuibgoQTn8eeU
Miss The Rage%:%Trippie Redd,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
You%:%Regard x Troye Sivan x Tate McRae,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
MP5%:%Trippie Redd Featuring SoFaygo,https://open.spotify.com/track/3Dc7EiHP7aDOhTI92OQaKi
Paralyzed%:%Sueco,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy
I Guess I'm In Love%:%Clinton Kane,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
Get Ready%:%Rod Wave Featuring Kodak Black,https://open.spotify.com/track/04EHa1ZzBl8OPvcnddph4p
Danny Phantom%:%Trippie Redd Featuring XXXTENTACION,https://open.spotify.com/track/7jjbfUEecddD2AW1UncQzb
What's Wrong%:%Rod Wave,https://open.spotify.com/track/1jNapyyVxPB4X6gewQjEM8
Demon Time%:%Trippie Redd Featuring Ski Mask The Slump God,https://open.spotify.com/track/1hE8iI3YK9x1VUBDtSzg3x
Tick Tock%:%Young Thug,https://open.spotify.com/track/3JXebpWufTcs8iegiRCBW7
Permission To Dance%:%BTS,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry
Time Heals%:%Rod Wave,https://open.spotify.com/track/5zAKS2742J6jxxJ8QzeOF9
Mind Of Melvin%:%YNW Melly Featuring Lil Uzi Vert,https://open.spotify.com/track/5xyLeb2q1lxDf7hXKYlC1H
Papercuts%:%Machine Gun Kelly,https://open.spotify.com/track/1Fa7pBvVjFkMjNW3mAXkr3
SUVs (Black On Black)%:%Jack Harlow,https://open.spotify.com/track/1MIGkQxcdAt2lDx6ySpsc5
Straightenin%:%Migos,https://open.spotify.com/track/3X2r2CnHOJeV5YekPTgBnK
Blame It On You%:%Jason Aldean,https://open.spotify.com/track/2CwG4BXIlGmmYLDmDvwMTH
Hats Off%:%Lil Baby,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
Over The Top%:%Smiley Featuring Drake,https://open.spotify.com/track/3yaYgjEFkRw3PVjW9mV1TO
Brainwashed%:%Tom MacDonald,https://open.spotify.com/track/6fOKWhVo0bQkd5U3EeM4Vc
my.life%:%J. Cole,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
WUSYANAME%:%Tyler,https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC
Favorite Crime%:%Olivia Rodrigo,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
Outside%:%MO3 X OG Bobby Billions,https://open.spotify.com/track/5A0DZWivlvlNm1fZZaz5rl
Ball If I Want To%:%DaBaby,https://open.spotify.com/track/1WrsoD8UCnv3otfLQjYnCN
Next Girl%:%Carly Pearce,https://open.spotify.com/track/4QpWhd7l2NrmGmfw4qGlpa
I Like Dat%:%T-Pain,https://open.spotify.com/track/7KrlNS2VqiNNJ82RMQdxBn
Steal My Love%:%Dan + Shay,https://open.spotify.com/track/0vzSAyinyA619ZbrOaAi04
5500 Degrees%:%EST Gee Featuring Lil Baby,https://open.spotify.com/track/6uTID2glulLOXYhcwMETS1
Telepatia%:%Kali Uchis,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
