"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","sentiment","duration_min","log_popularity"
FALSE,0.87,0.35,"1",-6.082,"1",0.277,0.00661,0.000483,0.108,0.175,74.963,4,-0.9851,2.80578333333333,9.79984777777637
TRUE,0.901,0.522,"2",-8.304,"1",0.33,0.0114,0,0.259,0.329,104.053,4,-0.9956,2.13245,10.2817184876905
TRUE,0.669,0.574,"4",-6.442,"0",0.0286,0.0175,0.00294,0.146,0.273,120.013,4,0.5742,3.27333333333333,10.5428119263986
FALSE,0.699,0.558,"11",-7.622,"1",0.0603,0.462,0,0.116,0.493,79.992,4,-0.9705,2.75,7.51261754467451
TRUE,0.752,0.505,"9",-7.621,"1",0.253,0.535,2.55e-06,0.104,0.419,91.97,4,0.9988,3.29061666666667,8.84448051846038
TRUE,0.782,0.51,"4",-5.724,"0",0.0419,0.143,0,0.115,0.118,99.993,4,-0.9875,2.38958333333333,10.3805598894967
TRUE,0.74,0.613,"8",-4.88,"1",0.145,0.258,0.00372,0.123,0.473,75.023,4,-0.9933,2.77676666666667,10.5428119263986
FALSE,0.414,0.404,"0",-9.928,"0",0.0499,0.271,0,0.3,0.224,71.105,4,-0.9753,5.90533333333333,10.0106813866382
FALSE,0.66,0.615,"1",-7.2,"1",0.47,0.114,0,0.315,0.501,174.034,4,-0.9577,2.75861666666667,9.80945156060953
TRUE,0.79,0.629,"8",-4.055,"1",0.142,0.182,7.06e-06,0.338,0.267,170.023,4,0.9859,2.827,7.89020821310996
FALSE,0.856,0.694,"2",-4.393,"1",0.169,0.371,0,0.109,0.489,122.08,4,-0.988,5.40315,10.606659318618
TRUE,0.711,0.796,"10",-5.87,"1",0.0341,0.0716,0.0045,0.262,0.901,109.991,4,-0.9334,3.47888333333333,8.52555810774787
FALSE,0.454,0.66,"0",-4.357,"1",0.168,0.0364,0,0.181,0.568,184.353,4,-0.978,3.54481666666667,8.34283980427146
TRUE,0.745,0.346,"1",-7.709,"1",0.331,0.00552,0,0.0881,0.112,203.911,4,-0.9844,3.954,8.80447518384668
FALSE,0.544,0.524,"8",-7.914,"1",0.0621,0.136,0,0.106,0.117,81.982,4,0.9435,2.15715,9.2299469016151
FALSE,0.659,0.672,"9",-7.442,"1",0.264,0.413,0,0.125,0.452,139.868,4,-0.9803,2.97143333333333,9.2299469016151
FALSE,0.728,0.517,"8",-11.404,"1",0.0629,0.0555,1.95e-06,0.107,0.379,111.974,4,-0.9898,2.88548333333333,9.2299469016151
TRUE,0.758,0.574,"11",-6.889,"0",0.0572,0.46,0.00272,0.102,0.261,151.985,4,0.9915,3.18578333333333,6.70686233660275
TRUE,0.6,0.683,"6",-6.271,"1",0.0493,0.0984,1.26e-06,0.11,0.494,102.036,4,0.7199,3.504,8.99603266932437
TRUE,0.75,0.404,"9",-10.178,"0",0.0682,0.216,0.000357,0.0911,0.0499,95.045,4,0.9945,3.87088333333333,10.5356897474686
FALSE,0.638,0.4,"11",-11.212,"0",0.0425,0.733,0.000133,0.334,0.495,150.133,4,0.6936,2.76821666666667,10.1468258111359
FALSE,0.854,0.708,"1",-5.805,"0",0.244,0.175,0,0.241,0.172,118.032,4,-0.4607,2.70221666666667,7.31588350450979
FALSE,0.675,0.23,"1",-10.363,"0",0.204,0.191,0,0.104,0.101,173.962,4,0.888,3.532,10.1468258111359
FALSE,0.636,0.501,"11",-7.26,"0",0.329,0.413,0,0.339,0.196,82.309,4,0.9986,4.41866666666667,10.1468258111359
FALSE,0.781,0.768,"11",-5.991,"1",0.0394,0.0119,4.91e-06,0.325,0.486,123.07,4,-0.8994,3.55515,10.4184346712613
TRUE,0.527,0.761,"0",-4.708,"1",0.341,0.073,0,0.0865,0.653,135.543,5,0.9952,4.33333333333333,9.59076113897809
TRUE,0.758,0.867,"11",-5.087,"1",0.0475,0.152,0,0.308,0.964,102.018,4,0.9838,2.77621666666667,9.34992838618324
TRUE,0.893,0.651,"0",-8.647,"0",0.367,0.0995,0,0.371,0.6,105.835,4,0,4.22633333333333,10.9597315128369
FALSE,0.921,0.607,"1",-7.397,"1",0.209,0.525,1.12e-06,0.123,0.753,140.071,4,-0.9992,3.28465,7.31588350450979
FALSE,0.799,0.616,"1",-8.809,"1",0.157,0.319,0,0.134,0.667,114.014,4,-0.9918,3.07266666666667,10.1468258111359
TRUE,0.753,0.657,"7",-3.061,"1",0.0449,0.171,0,0.112,0.437,107.01,4,-0.9654,3.07886666666667,8.76639427704974
FALSE,0.485,0.306,"0",-8.431,"1",0.0409,0.794,0,0.122,0.224,203.729,4,-0.9022,3.45445,5.4510384535657
FALSE,0.669,0.684,"7",-4.595,"1",0.0585,0.252,0,0.72,0.466,96.097,4,-0.9947,3.20895,9.61099392308713
